microbe,status,taxonomy_level,nonzero_fraction,mean_nonzero_abund,std_abund,prevalence_datasets,cv_across_datasets,mean_MI_with_target
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister,kept,genus,0.13592413536630718,0.019006557458888764,0.01925801197099348,0.26666666666666666,2.005732603433992,0.011894410092413047
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera,kept,genus,0.10728895500185942,0.02955778135969451,0.030098747718708824,0.6333333333333333,1.3284655972439243,0.017098161000475943
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Negativicoccus,kept,genus,0.04016362960208256,0.0035399427738630087,0.0023965665743624245,0.23333333333333334,2.6045279912616475,0.012927297690810809
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella,kept,genus,0.5509483079211602,0.05780943641292545,0.09951831270158448,0.6333333333333333,0.8012177930345779,0.013745762527627861
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,kept,genus,0.004834510970621049,0.019534517236601046,0.0023474278313937746,0.13333333333333333,3.0089895791823205,0.01689297428521257
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,kept,genus,0.12588322796578655,0.0059092154433350065,0.006333642037538409,0.6333333333333333,1.243902508736997,0.019932361306862698
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,kept,family,0.2458162885831164,0.08594321170097129,0.09549592532269147,0.36666666666666664,1.5027192188168332,0.010513366567959299
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella,kept,genus,0.5014875418371142,0.11194796752843325,0.13522185805790796,0.6333333333333333,0.836012224143058,0.016758386417853027
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,kept,genus,0.17664559315730755,0.011026146392689139,0.018405608703243235,0.36666666666666664,1.6461005022680228,0.017283717153432784
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,kept,genus,0.011342506507995537,0.07673995958687868,0.014611347176563547,0.13333333333333333,2.7601348106732995,0.020550357948215345
k__Archaea;_p__Crenarchaeota;_c__Thaumarchaeota;_o__Nitrososphaerales;_f__Nitrososphaeraceae;_g__Candidatus_Nitrososphaera;_s__,dropped,genus,0.0005578281889178133,236.0,6.340954050541209,0.03333333333333333,5.47722557505166,0.007582582888985308
k__Archaea;_p__Crenarchaeota;_c__Thaumarchaeota;_o__Nitrososphaerales;_f__Nitrososphaeraceae;_g__Candidatus_Nitrososphaera;_s__SCA1170,dropped,species,0.0009297136481963555,344.2,14.756635090327455,0.03333333333333333,5.47722557505166,0.013026229851966546
k__Archaea;_p__Crenarchaeota;_c__Thaumarchaeota;_o__Nitrososphaerales;_f__Nitrososphaeraceae;_g__Candidatus_Nitrososphaera;_s__gargensis,dropped,species,0.0005578281889178133,100.66666666666667,3.098201836175919,0.03333333333333333,5.47722557505166,0.01807801992555694
k__Archaea;_p__Euryarchaeota;_c__Methanobacteria;_o__Methanobacteriales;_f__Methanobacteriaceae;_g__Methanobrevibacter;_s__,kept,genus,0.009669021941242098,409.2307692307692,138.60149013976664,0.2,3.491533193113381,0.012692472093079369
k__Archaea;_p__Euryarchaeota;_c__Methanobacteria;_o__Methanobacteriales;_f__Methanobacteriaceae;_g__Methanobrevibacter;_s__.1,dropped,genus,0.0009297136481963555,259.6,12.414174190734142,0.03333333333333333,5.47722557505166,0.0184428115850981
k__Archaea;_p__Euryarchaeota;_c__Methanomicrobia;_o__Methanomicrobiales;_f__Methanocorpusculaceae;_g__;_s__,dropped,family,0.0007437709185570844,66.25,1.9863745544394835,0.03333333333333333,5.477225575051661,0.010718157969814146
k__Archaea;_p__Euryarchaeota;_c__Thermoplasmata;_o__E2;_f___Methanomassiliicoccaceae_;_g__vadinCA11;_s__,dropped,genus,0.0005578281889178133,380.3333333333333,10.882151653213281,0.03333333333333333,5.47722557505166,0.021170879644917453
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__,kept,genus,0.05224990702863518,0.02995201256300538,0.01617758308094495,0.1,3.6177801837268277,0.014806271624371906
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__arboriphilus,dropped,species,0.0013015991074748978,0.006051516571428571,0.0003759348883753683,0.03333333333333333,5.477225575051661,0.02366502719648865
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__,kept,genus,0.008181480104127928,0.0056317810780984285,0.0008924026601994002,0.1,4.311539956693047,0.01744292497658043
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f___Methanomassiliicoccaceae_;g__;s__,kept,family,0.0011156563778356265,0.0032595874833633806,0.00014730978200966008,0.06666666666666667,4.8808626762059335,0.016757466831189654
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f___Methanomassiliicoccaceae_;g__Methanomassiliicoccus;s__,dropped,genus,0.009111193752324285,0.021896173163265305,0.004128609929993211,0.03333333333333333,5.477225575051661,0.011944542377020643
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f___Methanomassiliicoccaceae_;g__vadinCA11;s__,dropped,genus,0.004090740052063964,0.01744019068181818,0.002336294223636521,0.03333333333333333,5.477225575051662,0.019936842874143226
k__Bacteria,kept,unknown,0.013759761993306061,49.36486486486486,15.715705297592143,0.16666666666666666,2.9400293719637753,0.016975256056331524
