microbe,status,taxonomy_level,nonzero_fraction,mean_nonzero_abund,std_abund,prevalence_datasets,cv_across_datasets,mean_MI_with_target
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae,dropped,species,0.024487978628673197,0.09723327272727272,0.028772567353116306,0.3333333333333333,1.7337295001012611,0.013211303033962256
k__Archaea_p__Euryarchaeota,kept,phylum,0.10552092609082814,0.9356578902953587,0.5286886130705696,0.5555555555555556,1.2978140758979069,0.04842377163154083
k__Archaea_p__Euryarchaeota_c__Methanobacteria,kept,class,0.09973285841495994,0.9554883035714286,0.526177438188091,0.5555555555555556,1.2953748313827382,0.05054546207054922
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales,kept,order,0.09973285841495994,0.9554883035714286,0.526177438188091,0.5555555555555556,1.2953748313827382,0.026612860046580544
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae,kept,family,0.09973285841495994,0.9554883035714286,0.526177438188091,0.5555555555555556,1.2953748313827382,0.040285763894321126
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanobrevibacter,kept,genus,0.09973285841495994,0.9308797767857142,0.5058143953857206,0.5555555555555556,1.2953748313827382,0.023582091713068725
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanobrevibacter_s__Methanobrevibacter_arboriphilus,dropped,species,0.0004452359750667854,0.01075,0.00022683161677476837,0.05555555555555555,4.242640687119285,0.013394697774613447
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanobrevibacter_s__Methanobrevibacter_smithii,kept,species,0.09928762243989314,0.9350059192825112,0.5058152233651074,0.5555555555555556,1.292266692210931,0.03250255111389029
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanosphaera,dropped,genus,0.006678539626001781,0.3674859999999999,0.0468216259313615,0.16666666666666666,3.123492529885647,0.013895219531534993
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanosphaera_s__Methanosphaera_stadtmanae,dropped,species,0.006678539626001781,0.3674859999999999,0.0468216259313615,0.16666666666666666,3.123492529885647,0.018510743731176057
k__Archaea_p__Euryarchaeota_c__Thermoplasmata,dropped,class,0.012911843276936777,0.2662586206896551,0.035405249309420066,0.2222222222222222,2.306710579776907,0.02730921109644755
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales,dropped,order,0.012911843276936777,0.2662586206896551,0.035405249309420066,0.2222222222222222,2.306710579776907,0.017177317410633136
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae,dropped,family,0.012911843276936777,0.2662586206896551,0.035405249309420066,0.2222222222222222,2.306710579776907,0.012350247993451635
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Candidatus_Methanomethylophilus,dropped,genus,0.008014247551202136,0.2167388888888889,0.02306959025158327,0.05555555555555555,4.242640687119286,0.03321178747821416
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Candidatus_Methanomethylophilus_s__Candidatus_Methanomethylophilus_alvus,dropped,species,0.008014247551202136,0.2167388888888889,0.02306959025158327,0.05555555555555555,4.242640687119286,0.021320602777551316
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Methanomassiliicoccus,dropped,genus,0.004897595725734639,0.3472909090909091,0.026967335922910323,0.2222222222222222,2.29325819604372,0.015711809365125055
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Methanomassiliicoccus_s__Candidatus_Methanomassiliicoccus_intestinalis,dropped,species,0.004897595725734639,0.3472909090909091,0.026967335922910323,0.2222222222222222,2.29325819604372,0.03137607220734382
k__Bacteria,kept,unknown,0.8365983971504898,99.76786087812667,36.90867849001099,0.8333333333333334,0.4601789933084222,0.03157652907143128
k__Bacteria;p__Actinobacteria,kept,phylum,0.3263579697239537,4.812052223738063,4.776594850458707,0.3333333333333333,1.4552137502179978,0.02285829623401172
k__Bacteria;p__Actinobacteria;c__Actinobacteria,kept,class,0.3223508459483526,3.0999328116256906,3.698584673110305,0.3333333333333333,1.4554931983543549,0.014301639724341345
